Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-001,Edge Chromium 126,,,24-07-2024 16:49:15,24-07-2024 16:50:05,"49,247s",PASSED
,,,,,,,
Test Cases/TC UDEMY/TC - 003 Record Mode,Edge Chromium 126,,,24-07-2024 16:49:16,24-07-2024 16:49:43,"26,806s",PASSED
"openBrowser("""")",Edge Chromium 126,,,24-07-2024 16:49:18,24-07-2024 16:49:24,"6,403s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 126,,,24-07-2024 16:49:24,24-07-2024 16:49:27,"2,831s",PASSED
"click(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 126,,,24-07-2024 16:49:27,24-07-2024 16:49:29,"1,982s",PASSED
"setText(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Edge Chromium 126,,,24-07-2024 16:49:29,24-07-2024 16:49:32,"3,411s",PASSED
"click(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/input_Username_username""))",Edge Chromium 126,,,24-07-2024 16:49:32,24-07-2024 16:49:34,"1,282s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 126,,,24-07-2024 16:49:34,24-07-2024 16:49:35,"1,146s",PASSED
"click(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/button_Login""))",Edge Chromium 126,,,24-07-2024 16:49:35,24-07-2024 16:49:36,"1,199s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Edge Chromium 126,,,24-07-2024 16:49:36,24-07-2024 16:49:37,"1,580s",PASSED
