Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuitTraining,Edge Chromium 126,,,15-07-2024 16:02:07,15-07-2024 16:02:27,"19,901s",PASSED
,,,,,,,
Test Cases/TC-001,Edge Chromium 126,First Test Case,,15-07-2024 16:02:07,15-07-2024 16:02:27,"19,599s",PASSED
"openBrowser("""")",Edge Chromium 126,,,15-07-2024 16:02:08,15-07-2024 16:02:11,"3,154s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 126,,,15-07-2024 16:02:11,15-07-2024 16:02:15,"3,930s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 126,,,15-07-2024 16:02:15,15-07-2024 16:02:16,"1,116s",PASSED
"doubleClick(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Edge Chromium 126,,,15-07-2024 16:02:16,15-07-2024 16:02:17,"0,483s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Edge Chromium 126,,,15-07-2024 16:02:17,15-07-2024 16:02:17,"0,383s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Edge Chromium 126,,,15-07-2024 16:02:17,15-07-2024 16:02:18,"0,910s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 126,,,15-07-2024 16:02:18,15-07-2024 16:02:19,"0,632s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""), 0)",Edge Chromium 126,,,15-07-2024 16:02:19,15-07-2024 16:02:19,"0,362s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Edge Chromium 126,,,15-07-2024 16:02:19,15-07-2024 16:02:20,"1,077s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Edge Chromium 126,,,15-07-2024 16:02:20,15-07-2024 16:02:21,"1,378s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",Edge Chromium 126,,,15-07-2024 16:02:21,15-07-2024 16:02:22,"0,373s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_15""))",Edge Chromium 126,,,15-07-2024 16:02:22,15-07-2024 16:02:22,"0,564s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""This is  a comment."")",Edge Chromium 126,,,15-07-2024 16:02:22,15-07-2024 16:02:23,"0,936s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""), 0)",Edge Chromium 126,,,15-07-2024 16:02:23,15-07-2024 16:02:23,"0,295s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Edge Chromium 126,,,15-07-2024 16:02:23,15-07-2024 16:02:25,"1,573s",PASSED
"doubleClick(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Hongkong CURA Healthcare Center""))",Edge Chromium 126,,,15-07-2024 16:02:25,15-07-2024 16:02:26,"0,650s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Hongkong CURA Healthcare Center""), ""Hongkong CURA Healthcare Center"")",Edge Chromium 126,,,15-07-2024 16:02:26,15-07-2024 16:02:26,"0,297s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Edge Chromium 126,,,15-07-2024 16:02:26,15-07-2024 16:02:27,"0,622s",PASSED
closeBrowser(),Edge Chromium 126,,,15-07-2024 16:02:27,15-07-2024 16:02:27,"0,284s",PASSED
